row,state,linkId,fullShortUrl,originUrl,error
"1","SUCCEEDED","50004","https://localhost:19080/GJqsvKQw2","https://example.com/?iab-async=1",""
"2","INVALID","","","","INVALID_CREATION"
"3","INVALID","","","","INVALID_CREATION"
"4","INVALID","","","","INVALID_CREATION"
"5","INVALID","","","","INVALID_CREATION"
"6","INVALID","","","","INVALID_CREATION"
"7","INVALID","","","","INVALID_CREATION"
"8","INVALID","","","","INVALID_CREATION"
"9","INVALID","","","","INVALID_CREATION"
"10","INVALID","","","","INVALID_CREATION"
"11","INVALID","","","","INVALID_CREATION"
"12","INVALID","","","","INVALID_CREATION"
"13","INVALID","","","","INVALID_CREATION"
"14","INVALID","","","","INVALID_CREATION"
"15","INVALID","","","","INVALID_CREATION"
"16","INVALID","","","","INVALID_CREATION"
"17","INVALID","","","","INVALID_CREATION"
"18","INVALID","","","","INVALID_CREATION"
"19","INVALID","","","","INVALID_CREATION"
"20","INVALID","","","","INVALID_CREATION"
"21","INVALID","","","","INVALID_CREATION"
"22","INVALID","","","","INVALID_CREATION"
"23","INVALID","","","","INVALID_CREATION"
"24","INVALID","","","","INVALID_CREATION"
"25","INVALID","","","","INVALID_CREATION"
"26","INVALID","","","","INVALID_CREATION"
"27","INVALID","","","","INVALID_CREATION"
"28","INVALID","","","","INVALID_CREATION"
"29","INVALID","","","","INVALID_CREATION"
"30","INVALID","","","","INVALID_CREATION"
"31","INVALID","","","","INVALID_CREATION"
"32","INVALID","","","","INVALID_CREATION"
"33","INVALID","","","","INVALID_CREATION"
"34","INVALID","","","","INVALID_CREATION"
"35","INVALID","","","","INVALID_CREATION"
"36","INVALID","","","","INVALID_CREATION"
"37","INVALID","","","","INVALID_CREATION"
"38","INVALID","","","","INVALID_CREATION"
"39","INVALID","","","","INVALID_CREATION"
"40","INVALID","","","","INVALID_CREATION"
"41","INVALID","","","","INVALID_CREATION"
"42","INVALID","","","","INVALID_CREATION"
"43","INVALID","","","","INVALID_CREATION"
"44","INVALID","","","","INVALID_CREATION"
"45","INVALID","","","","INVALID_CREATION"
"46","INVALID","","","","INVALID_CREATION"
"47","INVALID","","","","INVALID_CREATION"
"48","INVALID","","","","INVALID_CREATION"
"49","INVALID","","","","INVALID_CREATION"
"50","INVALID","","","","INVALID_CREATION"
"51","INVALID","","","","INVALID_CREATION"
"52","INVALID","","","","INVALID_CREATION"
"53","INVALID","","","","INVALID_CREATION"
"54","INVALID","","","","INVALID_CREATION"
"55","INVALID","","","","INVALID_CREATION"
"56","INVALID","","","","INVALID_CREATION"
"57","INVALID","","","","INVALID_CREATION"
"58","INVALID","","","","INVALID_CREATION"
"59","INVALID","","","","INVALID_CREATION"
"60","INVALID","","","","INVALID_CREATION"
"61","INVALID","","","","INVALID_CREATION"
"62","INVALID","","","","INVALID_CREATION"
"63","INVALID","","","","INVALID_CREATION"
"64","INVALID","","","","INVALID_CREATION"
"65","INVALID","","","","INVALID_CREATION"
"66","INVALID","","","","INVALID_CREATION"
"67","INVALID","","","","INVALID_CREATION"
"68","INVALID","","","","INVALID_CREATION"
"69","INVALID","","","","INVALID_CREATION"
"70","INVALID","","","","INVALID_CREATION"
"71","INVALID","","","","INVALID_CREATION"
"72","INVALID","","","","INVALID_CREATION"
"73","INVALID","","","","INVALID_CREATION"
"74","INVALID","","","","INVALID_CREATION"
"75","INVALID","","","","INVALID_CREATION"
"76","INVALID","","","","INVALID_CREATION"
"77","INVALID","","","","INVALID_CREATION"
"78","INVALID","","","","INVALID_CREATION"
"79","INVALID","","","","INVALID_CREATION"
"80","INVALID","","","","INVALID_CREATION"
